I_MANAGER_ID|SUM_SALES|AVG_MONTHLY_SALES|
 1|189.04|5.31919166666666666666666666666666666667E02|
 1|203.73|5.31919166666666666666666666666666666667E02|
 1|355.17|5.31919166666666666666666666666666666667E02|
 1|359.53|5.31919166666666666666666666666666666667E02|
 1|365.84|5.31919166666666666666666666666666666667E02|
 1|373.26|5.31919166666666666666666666666666666667E02|
 1|430.03|5.31919166666666666666666666666666666667E02|
 1|698.6|5.31919166666666666666666666666666666667E02|
 1|909.18|5.31919166666666666666666666666666666667E02|
 1|995.02|5.31919166666666666666666666666666666667E02|
 1|998.95|5.31919166666666666666666666666666666667E02|
 2|34.79|6.25031666666666666666666666666666666667E02|
 2|143.64|6.25031666666666666666666666666666666667E02|
 2|253.85|6.25031666666666666666666666666666666667E02|
 2|359.05|6.25031666666666666666666666666666666667E02|
 2|445.59|6.25031666666666666666666666666666666667E02|
 2|499.99|6.25031666666666666666666666666666666667E02|
 2|538.36|6.25031666666666666666666666666666666667E02|
 2|780.07|6.25031666666666666666666666666666666667E02|
 2|1487.82|6.25031666666666666666666666666666666667E02|
 2|1660.48|6.25031666666666666666666666666666666667E02|
 3|270.1|9.88293333333333333333333333333333333333E02|
 3|367.94|9.88293333333333333333333333333333333333E02|
 3|491.2|9.88293333333333333333333333333333333333E02|
 3|529.42|9.88293333333333333333333333333333333333E02|
 3|629.34|9.88293333333333333333333333333333333333E02|
 3|757.7|9.88293333333333333333333333333333333333E02|
 3|1161.47|9.88293333333333333333333333333333333333E02|
 3|1234.3|9.88293333333333333333333333333333333333E02|
 3|1251.01|9.88293333333333333333333333333333333333E02|
 3|1522.49|9.88293333333333333333333333333333333333E02|
 3|2624.04|9.88293333333333333333333333333333333333E02|
 5|353.24|1169.4825|
 5|581.28|1169.4825|
 5|694.79|1169.4825|
 5|696.66|1169.4825|
 5|740.99|1169.4825|
 5|890.86|1169.4825|
 5|955.61|1169.4825|
 5|1359.61|1169.4825|
 5|1712.35|1169.4825|
 5|1794.66|1169.4825|
 5|2080.16|1169.4825|
 5|2173.58|1169.4825|
 6|644.61|1.77299833333333333333333333333333333333E03|
 6|851.23|1.77299833333333333333333333333333333333E03|
 6|868.62|1.77299833333333333333333333333333333333E03|
 6|1056.06|1.77299833333333333333333333333333333333E03|
 6|1150.4|1.77299833333333333333333333333333333333E03|
 6|1196.5|1.77299833333333333333333333333333333333E03|
 6|1551.15|1.77299833333333333333333333333333333333E03|
 6|2576.64|1.77299833333333333333333333333333333333E03|
 6|2875.54|1.77299833333333333333333333333333333333E03|
 6|3299.7|1.77299833333333333333333333333333333333E03|
 6|3309.13|1.77299833333333333333333333333333333333E03|
 7|638.3|1499.6575|
 7|663.54|1499.6575|
 7|779.65|1499.6575|
 7|800.25|1499.6575|
 7|811.54|1499.6575|
 7|987.78|1499.6575|
 7|1046.24|1499.6575|
 7|1667.92|1499.6575|
 7|2750.32|1499.6575|
 7|2970.8|1499.6575|
 7|3524|1499.6575|
 8|803.53|1.61895416666666666666666666666666666667E03|
 8|819.18|1.61895416666666666666666666666666666667E03|
 8|933.76|1.61895416666666666666666666666666666667E03|
 8|944.19|1.61895416666666666666666666666666666667E03|
 8|1019.24|1.61895416666666666666666666666666666667E03|
 8|1159.06|1.61895416666666666666666666666666666667E03|
 8|1290.94|1.61895416666666666666666666666666666667E03|
 8|2168.17|1.61895416666666666666666666666666666667E03|
 8|2264.18|1.61895416666666666666666666666666666667E03|
 8|3033.41|1.61895416666666666666666666666666666667E03|
 8|3213.77|1.61895416666666666666666666666666666667E03|
 9|315.31|1509.9775|
 9|559.82|1509.9775|
 9|728.72|1509.9775|
 9|784.15|1509.9775|
 9|923.36|1509.9775|
 9|933.68|1509.9775|
 9|1239.49|1509.9775|
 9|1848.85|1509.9775|
 9|2172.04|1509.9775|
 9|2178.07|1509.9775|
 9|3165.98|1509.9775|
 9|3270.26|1509.9775|
 10|314.3|1.12525916666666666666666666666666666667E03|
 10|365.57|1.12525916666666666666666666666666666667E03|
 10|591.3|1.12525916666666666666666666666666666667E03|
 10|760.81|1.12525916666666666666666666666666666667E03|
 10|776.91|1.12525916666666666666666666666666666667E03|
 10|959.65|1.12525916666666666666666666666666666667E03|
 10|975.25|1.12525916666666666666666666666666666667E03|
 10|1294.2|1.12525916666666666666666666666666666667E03|
 10|1342.05|1.12525916666666666666666666666666666667E03|
 10|1914.64|1.12525916666666666666666666666666666667E03|
 10|3105.53|1.12525916666666666666666666666666666667E03|
