CHANNEL|ID|SALES|RETURNS|PROFIT|
 store channel|1|1158313.64|253480.86|-635461.97|
 store channel|2|953654.59|209499.4|-613935.96|
 store channel|4|952044.23|244419.33|-532154.76|
 store channel|7|766140.28|239194.64|-418246.88|
 store channel|8|718476.12|177024.51|-362825.87|
 store channel|10|606451.86|226508.12|-432502.04|
 store channel||5155080.72|1350126.86|-2995127.48|
 web channel|1|174950.89|28406.98|-45048.14|
 web channel|2|186715.79|99179.48|-98094.95|
 web channel|5|217761.43|21625.36|-24034.69|
 web channel|7|233951.25|67708.76|-68131.01|
 web channel|8|184978.57|46749.46|-69659.35|
 web channel|11|201882.11|10034.84|-26240.31|
 web channel|13|213405.41|62142.91|-74320.65|
 web channel|14|289332.27|50742.65|-39265.27|
 web channel|17|204486.73|28732.85|-57792.32|
 web channel|19|253557.2|24108.59|-47125.27|
 web channel|20|313981.95|42538.28|-40640.52|
 web channel|23|229345.22|37116.42|-60561.22|
 web channel|25|258430.27|48916.38|-34328.08|
 web channel|26|252773.8|48072.56|-28451.51|
 web channel|29|250404.88|19233.11|-34192.68|
 web channel|31|220177.9|25494.42|-29303.89|
 web channel|32|207489.57|50731.53|-54405.77|
 web channel|35|267225.61|22363.43|-21358.23|
 web channel|37|278308.13|32534.27|-39883.03|
 web channel|38|291752.87|41815.25|10472.32|
 web channel|41|186298.57|19599.96|-26429.91|
 web channel|43|220773.72|41175.01|-62322.91|
 web channel|44|237477.14|37134.99|-75210.17|
 web channel|47|254283.57|15989.92|-48775.88|
 web channel|49|289330.39|45004.31|-26506.76|
 web channel|50|268062.37|28284.26|-13341.7|
 web channel|53|220307.08|24570.34|-21114.88|
 web channel|55|218946.71|38157.61|-64497.07|
 web channel|56|249726.45|46633.14|-35689.1|
 web channel|59|194162.44|10683.93|-65326.69|
 web channel||7070280.29|1115481|-1321579.64|
 ||12225361.01|2465607.86|-4316707.12|
