I_MANAGER_ID|SUM_SALES|AVG_MONTHLY_SALES|
 1|2.42|33.556|
 1|8.39|33.556|
 1|24.57|33.556|
 1|100.25|33.556|
 3|.59|5.85266666666666666666666666666666666667E01|
 3|4.38|5.85266666666666666666666666666666666667E01|
 3|5.21|5.85266666666666666666666666666666666667E01|
 3|47.94|5.85266666666666666666666666666666666667E01|
 3|110.45|5.85266666666666666666666666666666666667E01|
 3|182.59|5.85266666666666666666666666666666666667E01|
 5|2.88|2.87957142857142857142857142857142857143E01|
 5|12.21|2.87957142857142857142857142857142857143E01|
 5|20.61|2.87957142857142857142857142857142857143E01|
 5|24.53|2.87957142857142857142857142857142857143E01|
 5|35.03|2.87957142857142857142857142857142857143E01|
 5|46.2|2.87957142857142857142857142857142857143E01|
 5|60.11|2.87957142857142857142857142857142857143E01|
 6|32.75|134.88125|
 6|38.78|134.88125|
 6|54.65|134.88125|
 6|148.98|134.88125|
 6|165.78|134.88125|
 6|225.95|134.88125|
 6|282.27|134.88125|
 7|9.18|51.71125|
 7|10.22|51.71125|
 7|14.62|51.71125|
 7|18.3|51.71125|
 7|18.57|51.71125|
 7|57.67|51.71125|
 7|93.19|51.71125|
 7|191.94|51.71125|
 8|38.75|98.58625|
 8|41.03|98.58625|
 8|49.4|98.58625|
 8|63.98|98.58625|
 8|86.34|98.58625|
 8|120.1|98.58625|
 8|193.25|98.58625|
 8|195.84|98.58625|
 9|9.15|1.00283333333333333333333333333333333333E02|
 9|28.76|1.00283333333333333333333333333333333333E02|
 9|41.21|1.00283333333333333333333333333333333333E02|
 9|48.47|1.00283333333333333333333333333333333333E02|
 9|113.1|1.00283333333333333333333333333333333333E02|
 9|139.85|1.00283333333333333333333333333333333333E02|
 9|150.27|1.00283333333333333333333333333333333333E02|
 9|159.14|1.00283333333333333333333333333333333333E02|
 9|212.6|1.00283333333333333333333333333333333333E02|
 10|6.79|57.38125|
 10|8.58|57.38125|
 10|17.15|57.38125|
 10|19.11|57.38125|
 10|38.89|57.38125|
 10|65.46|57.38125|
 10|88.93|57.38125|
 10|214.14|57.38125|
 11|22.88|71.09|
 11|32.53|71.09|
 11|34.11|71.09|
 11|45.02|71.09|
 11|54.63|71.09|
 11|103.08|71.09|
 11|107.13|71.09|
 11|169.34|71.09|
 12|7.74|54.58875|
 12|11.02|54.58875|
 12|11.61|54.58875|
 12|68.07|54.58875|
 12|70.92|54.58875|
 12|81.07|54.58875|
 12|90.81|54.58875|
 12|95.47|54.58875|
 13|4.42|7.73633333333333333333333333333333333333E01|
 13|14.37|7.73633333333333333333333333333333333333E01|
 13|25.33|7.73633333333333333333333333333333333333E01|
 13|50.69|7.73633333333333333333333333333333333333E01|
 13|86.05|7.73633333333333333333333333333333333333E01|
 13|92.35|7.73633333333333333333333333333333333333E01|
 13|111.68|7.73633333333333333333333333333333333333E01|
 13|152.57|7.73633333333333333333333333333333333333E01|
 13|158.81|7.73633333333333333333333333333333333333E01|
 14|9.17|1.00174444444444444444444444444444444444E02|
 14|19.58|1.00174444444444444444444444444444444444E02|
 14|41.71|1.00174444444444444444444444444444444444E02|
 14|62.63|1.00174444444444444444444444444444444444E02|
 14|117.2|1.00174444444444444444444444444444444444E02|
 14|120.58|1.00174444444444444444444444444444444444E02|
 14|160.41|1.00174444444444444444444444444444444444E02|
 14|161.59|1.00174444444444444444444444444444444444E02|
 14|208.7|1.00174444444444444444444444444444444444E02|
 15|0|7.30771428571428571428571428571428571429E01|
 15|4.94|7.30771428571428571428571428571428571429E01|
 15|6.34|7.30771428571428571428571428571428571429E01|
 15|11.15|7.30771428571428571428571428571428571429E01|
 15|138.17|7.30771428571428571428571428571428571429E01|
 15|281.93|7.30771428571428571428571428571428571429E01|
 16|4.31|4.59555555555555555555555555555555555556E01|
 16|17.63|4.59555555555555555555555555555555555556E01|
 16|21.71|4.59555555555555555555555555555555555556E01|
