CHANNEL|ID|SALES|RETURNS|PROFIT|
 store channel|storeAAAAAAAABAAAAAAA|66442.96|697.73|-25357.13|
 store channel|storeAAAAAAAACAAAAAAA|61792.36|6107.25|-21655.14|
 store channel|storeAAAAAAAAEAAAAAAA|48608.27|4668.26|-32076.09|
 store channel|storeAAAAAAAAHAAAAAAA|38926.31|1404.62|-10791.08|
 store channel|storeAAAAAAAAIAAAAAAA|32650.57|2817.32|-8918.35|
 store channel|storeAAAAAAAAKAAAAAAA|32802.55|859.63|-29673.77|
 store channel||281223.02|16554.81|-128471.56|
 web channel|web_siteAAAAAAAAABAAAAAA|12476.92|593.4|2710.43|
 web channel|web_siteAAAAAAAABAAAAAAA|17460.82|321.84|-2303.41|
 web channel|web_siteAAAAAAAACAAAAAAA|32612.61|592.11|5904.76|
 web channel|web_siteAAAAAAAADBAAAAAA|49878.03|353.91|2853.63|
 web channel|web_siteAAAAAAAAEAAAAAAA|25710.54|3088.92|-11201.94|
 web channel|web_siteAAAAAAAAEBAAAAAA|18996.35|0|-12938.91|
 web channel|web_siteAAAAAAAAGBAAAAAA|28791.99|160.72|9849.18|
 web channel|web_siteAAAAAAAAHAAAAAAA|13279.89|0|-257.57|
 web channel|web_siteAAAAAAAAIAAAAAAA|23313.66|1431.85|-4260.43|
 web channel|web_siteAAAAAAAAJBAAAAAA|32719.41|6847.74|-9053.4|
 web channel|web_siteAAAAAAAAKAAAAAAA|25633.1|0|-7156.08|
 web channel|web_siteAAAAAAAAKBAAAAAA|18595.89|0|1755.94|
 web channel|web_siteAAAAAAAAMBAAAAAA|34923.17|477.19|1764.84|
 web channel|web_siteAAAAAAAANAAAAAAA|30383.54|131.67|-3343.08|
 web channel|web_siteAAAAAAAAOAAAAAAA|72941.11|21940.7|24172.01|
 web channel||437717.03|35940.05|-1504.03|
 ||718940.05|52494.86|-129975.59|
